PPCName,F1,F2,F3,F4,F5,F6,F7,F8,F9
p03_geocnn_r01,0.128370958257,0.147136400219,0.254700495132,0.510230461863,0.150745749144,14082142.4612,0.586461424414,0.756777401192,0.629702543775
p03_geocnn_r02,0.064715412397,0.13642654384,0.21647068761,0.46154622725,0.16023666377,8369423.2411,0.68919810306,0.87924779351,0.62467152637
p03_geocnn_r03,0.039924185236,0.090592705973,0.17524096722,0.45842072459,0.16217577252,7394257.8345,0.73039432679,0.96065260406,0.64680364822
p03_geocnn_r04,0.025112300068,0.065848714311,0.18278256335,0.44960468283,0.17528179533,5961233.4287,0.78643896008,1.0440304595,0.710444431
p03_gpcc-octree-predlift_r02,0.06407515181,0.09877491063,0.1558222978,0.4456535196,0.1568468178,491171.7548,2.699981801,3.509151422,2.515489687
p03_gpcc-octree-predlift_r03,0.030927176162,0.057304174975,0.17685696142,0.41918680197,0.17868295184,1123290.0133,1.5952450953,2.048017043,1.4971585387
p03_gpcc-octree-predlift_r04,0.020529017937,0.041492169453,0.22431709498,0.38435243509,0.22109505071,1429165.206,1.4533455837,1.7437152484,1.4002453076
p03_gpcc-octree-predlift_r05,0.015408783287,0.031161963344,0.2138148693,0.39115565287,0.21161958428,1774009.0304,1.4466061156,1.6966080864,1.370928084
p03_gpcc-octree-predlift_r06,0.013164077126,0.026884940104,0.20231681649,0.41127070363,0.20082813701,2006979.052,1.4381198898,1.7250416969,1.3769770069
p03_gpcc-octree-raht_r02,0.06407515181,0.09877491063,0.1558222978,0.4456535196,0.1568468178,498108.313,2.699981801,3.509151422,2.515489687
p03_gpcc-octree-raht_r03,0.030927176162,0.057304174975,0.17685696142,0.41918680197,0.17868295184,1160564.1458,1.5952450953,2.048017043,1.4971585387
p03_gpcc-octree-raht_r04,0.020529017937,0.041492169453,0.22431709498,0.38435243509,0.22109505071,1425217.8327,1.4533455837,1.7437152484,1.4002453076
p03_gpcc-octree-raht_r05,0.015408783287,0.031161963344,0.2138148693,0.39115565287,0.21161958428,1702151.4868,1.4466061156,1.6966080864,1.370928084
p03_gpcc-octree-raht_r06,0.013164077126,0.026884940104,0.20231681649,0.41127070363,0.20082813701,1922634.9006,1.4381198898,1.7250416969,1.3769770069
p03_vpcc_r00,0.026151423721,0.075469295712,0.15769629144,0.49848306868,0.15432384857,1886908.7059,0.74132416883,1.0163890907,0.68346904951
p03_vpcc_r01,0.024010336534,0.067571981198,0.15550407172,0.50302632081,0.15460812199,2063065.6335,0.75164738455,1.0232260281,0.68899026311
p03_vpcc_r02,0.024839158407,0.070654273932,0.15741594401,0.50344327185,0.15574893362,2274757.605,0.75190231003,1.0200267402,0.69205262905
p03_vpcc_r03,0.028221673524,0.076126639952,0.15972007467,0.49642309262,0.1605626554,2600187.957,0.73954606938,0.99687135241,0.68261236357
p03_vpcc_r04,0.029536399705,0.075735446362,0.15976870806,0.49219909623,0.16284198026,2929658.6363,0.73236026636,0.98589542691,0.67500591608
p03_vpcc_r05,0.027331358499,0.061395453487,0.17555309714,0.44820193875,0.17739480585,2844639.4748,0.79425894242,1.0482803872,0.73365244926
p06_geocnn_r01,0.11946029878,0.15150884564,0.25904573099,0.49404119075,0.15577970129,4185204.0467,0.54803547851,0.78769513266,0.66708469703
p06_geocnn_r02,0.054681653173,0.1168808676,0.1952013295,0.45692393089,0.1589150543,2605726.3552,0.58879874308,0.93965022386,0.71524441339
p06_geocnn_r03,0.042308417743,0.086857340587,0.16840985893,0.45669712944,0.15850086226,2544870.7482,0.60066257511,0.9852866976,0.73300375316
p06_geocnn_r04,0.016967229445,0.044589709158,0.19132174766,0.44041908378,0.18449496884,1715784.9514,0.65973469615,1.1626954919,0.85139360633
p06_gpcc-octree-predlift_r02,0.0607574076,0.088237693,0.142799531,0.446537689,0.153520769,56809.964,2.30313365,3.63714273,2.79055865
p06_gpcc-octree-predlift_r03,0.0296517682,0.05412780307,0.1692891619,0.4408426616,0.1722687499,154962.5697,1.266240555,2.08830462,1.62102861
p06_gpcc-octree-predlift_r04,0.02062327954,0.04025285282,0.2221164621,0.3945263186,0.2204979838,263133.0638,1.26260962,1.728713614,1.457392575
p06_gpcc-octree-predlift_r05,0.01474136245,0.02793312197,0.2143058715,0.4114115314,0.2130134962,526024.2847,1.224535134,1.680546273,1.428059128
p06_gpcc-octree-predlift_r06,0.01256054544,0.02353093941,0.2057601655,0.420440454,0.2049302391,667965.5739,1.203823306,1.71549342,1.416424589
p06_gpcc-octree-raht_r02,0.0607574076,0.088237693,0.142799531,0.446537689,0.153520769,56576.2178,2.30313365,3.63714273,2.79055865
p06_gpcc-octree-raht_r03,0.0296517682,0.05412780307,0.1692891619,0.4408426616,0.1722687499,152325.9284,1.266240555,2.08830462,1.62102861
p06_gpcc-octree-raht_r04,0.02062327954,0.04025285282,0.2221164621,0.3945263186,0.2204979838,227512.9564,1.26260962,1.728713614,1.457392575
p06_gpcc-octree-raht_r05,0.01474136245,0.02793312197,0.2143058715,0.4114115314,0.2130134962,432050.2799,1.224535134,1.680546273,1.428059128
p06_gpcc-octree-raht_r06,0.01256054544,0.02353093941,0.2057601655,0.420440454,0.2049302391,616646.6446,1.203823306,1.71549342,1.416424589
p06_vpcc_r00,0.02122781265,0.0555070839,0.1403484186,0.5197970573,0.1405674882,225746.9004,0.5765593112,1.053135135,0.803951697
p06_vpcc_r01,0.0198286652,0.04757653295,0.1370126116,0.524093675,0.1386419666,268218.2059,0.579961302,1.058418302,0.8083656177
p06_vpcc_r02,0.02027132136,0.04911682033,0.1383765225,0.5256499364,0.1404737058,337581.9199,0.5818518972,1.052777101,0.8058492743
p06_vpcc_r03,0.0200319089,0.04805669287,0.1374291371,0.5274964326,0.1399966627,436553.0945,0.5831195515,1.050300528,0.8033157364
p06_vpcc_r04,0.02137405049,0.05170272889,0.1386827789,0.5254843872,0.1424852672,593251.5764,0.5820230907,1.043029535,0.8003146986
p06_vpcc_r05,0.02329940853,0.04911040118,0.1599460762,0.4853927031,0.164312374,770649.1285,0.6107333109,1.063621496,0.823241172
p08_geocnn_r01,0.13046402195,0.14281910175,0.25390728534,0.5094399361,0.15136056578,4664685.5536,0.55151034509,0.76920947108,0.6519930664
p08_geocnn_r02,0.059858696542,0.12262958696,0.20308366149,0.45369553898,0.16181874438,2547857.6361,0.6455348222,0.92778039076,0.66186671502
p08_geocnn_r03,0.038600158561,0.079021590733,0.16946398864,0.45509524567,0.16387176878,2311768.2046,0.67413016233,1.0088418211,0.69574505431
p08_geocnn_r04,0.019625762732,0.051233158799,0.19155731384,0.44008077514,0.18516685413,1642917.1019,0.73221113427,1.1675627061,0.80526962637
p08_gpcc-octree-predlift_r02,0.0619435353,0.0888241856,0.146152267,0.444898466,0.155566514,67526.3548,2.49614238,3.63143873,2.6523789
p08_gpcc-octree-predlift_r03,0.03032479112,0.05268725649,0.1788357236,0.4208526577,0.1816389875,173122.814,1.465930591,2.135009176,1.596664884
p08_gpcc-octree-predlift_r04,0.01932375622,0.03607472545,0.2233052217,0.3832859851,0.2208955144,267217.3744,1.379317479,1.798789851,1.454594576
p08_gpcc-octree-predlift_r05,0.01441079314,0.02629918904,0.2134752931,0.3918569139,0.2118102569,440969.0813,1.359105218,1.742966676,1.43344332
p08_gpcc-octree-predlift_r06,0.01229864336,0.02186415554,0.20312382,0.4059919343,0.2020044503,600438.851,1.353369404,1.773150823,1.423729811
p08_gpcc-octree-raht_r02,0.0619435353,0.0888241856,0.146152267,0.444898466,0.155566514,67039.4548,2.49614238,3.63143873,2.6523789
p08_gpcc-octree-raht_r03,0.03032479112,0.05268725649,0.1788357236,0.4208526577,0.1816389875,172022.3755,1.465930591,2.135009176,1.596664884
p08_gpcc-octree-raht_r04,0.01932375622,0.03607472545,0.2233052217,0.3832859851,0.2208955144,240629.1662,1.379317479,1.798789851,1.454594576
p08_gpcc-octree-raht_r05,0.01441079314,0.02629918904,0.2134752931,0.3918569139,0.2118102569,395541.6896,1.359105218,1.742966676,1.43344332
p08_gpcc-octree-raht_r06,0.01229864336,0.02186415554,0.20312382,0.4059919343,0.2020044503,554857.7546,1.353369404,1.773150823,1.423729811
p08_vpcc_r00,0.0209437733,0.05176799784,0.1452370895,0.5150351281,0.1476168565,274045.4285,0.6533778809,1.064344944,0.73271261
p08_vpcc_r01,0.02018544587,0.04929116729,0.1457141399,0.5192639915,0.14734349,326132.9147,0.654002465,1.064010779,0.7367431342
p08_vpcc_r02,0.02081451121,0.05059345077,0.1457109719,0.5196607321,0.1486144852,408970.5303,0.6550758303,1.061767648,0.7394918911
p08_vpcc_r03,0.02103420762,0.05147012598,0.1473629241,0.5192588718,0.1501746107,488749.7742,0.6540272307,1.057797123,0.7389557617
